num		adaboost		randomforest
500						0.907766153241
300						0.907449696457
200		0.875447319507	0.90694278403
150		0.875759610343	0.90638198967
100		0.875595956465	0.905668413316
95		0.875244726763	0.905516043951
90		0.875157136308	0.90540068137
85		0.875149171828	0.905159366388
80		0.875447209575	0.904997165933
75		0.875456396865	0.904522050261
70		0.875836149736	0.904396988991
65 		0.874817158421	0.904171652342
60		0.875321633171	0.903690400399
50		0.875106399034	0.902723098649
25		0.873654245872	0.897705783691
12		0.867754874868	0.885280511681
6		0.854472352752	0.863248785431
3		0.820194731563	0.826877515357
2		0.794203807573	0.796728664986
1		0.743431577149	0.734569227625
